diet_type,cost
current,66.76294338494444
current,8.89373377483239
current,10.93585796283116
current,62.67297508923183
current,64.71509927723059
current,8.05488495012568
current,10.09700913812445
current,61.83412626452512
current,63.876250452523884
current,11.122011932742113
current,13.164136120740883
current,64.90125324714155
current,66.94337743514032
current,8.925057569928653
current,10.967181757927422
current,62.70429888432809
current,64.74642307232686
current,8.086208745221946
current,10.128332933220713
current,61.86545005962138
current,63.90757424762015
current,11.153335727838376
current,13.195459915837146
current,64.93257704223781
current,66.97470123023658
current,9.195274730784165
current,11.237398918782935
current,62.9745160451836
current,65.01664023318237
current,8.356425906077458
current,10.398550094076228
current,62.13566722047689
current,64.17779140847566
current,11.423552888693889
current,13.465677076692659
current,65.20279420309332
current,67.24491839109209
